id	handle	title	category	descr	bucket
prod_01KTVK861ZAG1ETQC0W2XX1WBT	tpl-dus-122	Duff Simpsons Fridge magnet	Fridge Magnets	has	X
prod_01KTVK85RWNMN595JS847SVKNP	tpl-ets-128-fm	Enjoy the ShitShow Magnet	Fridge Magnets	has	X
prod_01KTVK861ZFAHPBQHTS44JB9KT	tpl-ets-128	Enjoy the ShitShow Magnet	Fridge Magnets	has	X
prod_01KTVK85RXGEA8F3KPBWR1ZQHQ	tpl-esm-129-fm	Everthing sucks Mixtape Fridge magnet	Fridge Magnets	EMPTY	X
prod_01KTVK861Z4JGXKG5GF498ZJFG	tpl-esm-129	Everthing sucks Mixtape Fridge magnet	Fridge Magnets	EMPTY	X
prod_01KTVK85RX8FFJYDJ1R2FAGM95	everything-sucks-mixtape-fridge-magnet-2	Everything Sucks Mixtape Fridge Magnet	Fridge Magnets	has	X
prod_01KTVK85RXSC84WNWYG9YNY8Z0	everything-sucks-mixtape-fridge-magnet	Everything Sucks Mixtape Fridge Magnet	Fridge Magnets	has	X
prod_01KTVK84PX0RJDPKJCGS3M18BK	tpl-exm-131-fm	Explore more Fridge magnet	Fridge Magnets	has	X
prod_01KTVK861ZNNCJV6WSJ9PVKJYK	tpl-exm-131	Explore more Fridge magnet	Fridge Magnets	has	X
prod_01KTVK85RXDFF394KY8DJQ9XP4	tpl-fil-132-fm	Fierce Lighter Fridge magnet	Fridge Magnets	EMPTY	X
prod_01KTVK861ZCT9FNSN6JHF6RWF4	tpl-fil-132	Fierce Lighter Fridge magnet	Fridge Magnets	EMPTY	X
prod_01KTVK861Z7TQ3ERSZMZ806AJA	tpl-fwe-133	First we eat Fridge magnet	Fridge Magnets	has	X
prod_01KTVK85307R33ACNKGNT7190H	tpl-fwe-133-fm	First we eat Fridge magnet	Fridge Magnets	has	X
prod_01KTVK84PY8BYRVZVFK14P1008	tpl-foa-136-fm	Forever alone Fridge magnet	Fridge Magnets	has	X
prod_01KTVK861ZDYPZJ8K2VMA421SB	tpl-foa-136	Forever alone Fridge magnet	Fridge Magnets	has	X
prod_01KTVK861ZYSGT6V9TSQT6VHA2	tpl-frf-139	Friends frame Fridge magnet	Fridge Magnets	has	X
prod_01KTVK84PXEZG1VECQH4REVVQ1	tpl-frf-139-fm	Friends frame Fridge magnet	Fridge Magnets	has	X
prod_01KTVK84PY34H4HX5WSHR4BDJS	tpl-fri-140-fm	Fries Fridge magnet	Fridge Magnets	has	X
prod_01KTVK861Z1YEGJ8REJC9TXTXS	tpl-g-amp-t-158	Gin &amp; Tonic Fridge magnet	Fridge Magnets	has	X
prod_01KTVK84PXDPV92G4GE79PR0Q8	tpl-g-amp-t-158-fm	Gin &amp; Tonic Fridge magnet	Fridge Magnets	has	X
prod_01KTVK8620DHY9SFJ5DWPJ24M1	tpl-g-s-162	GOT 'Em Sneakers Fridge magnet	Fridge Magnets	has	X
prod_01KTVK8620WH45KB14E44A3FM0	tpl-hpm-170	Harry potter - Mischief Fridge magnet	Fridge Magnets	has	X
prod_01KTVK84PYBWFKTW6CWTP9ZHXQ	tpl-hpm-170-fm	Harry potter - Mischief Fridge magnet	Fridge Magnets	has	X
prod_01KTVK8620K6M25X9CKY78M9C1	tpl-hog-177	Hogwarts Fridge magnet	Fridge Magnets	has	X
prod_01KTVK852ZMW4G7YPQW2SQ6WJZ	tpl-hog-177-fm	Hogwarts Fridge magnet	Fridge Magnets	has	X
prod_01KTVK86203V5QCKHSE8ZHGWZW	tpl-hsb-178	Homer Simpsons beer Fridge magnet	Fridge Magnets	has	X
prod_01KTVK852ZN93KKH040F0PE2AE	tpl-hsb-178-fm	Homer Simpsons beer Fridge magnet	Fridge Magnets	has	X
prod_01KTVK86206743CKE28F9S5M02	tpl-hsd-179	Homer Simpsons doughnut Fridge magnet	Fridge Magnets	has	X
prod_01KTVK852Z7DSXWVRJ78YTW94D	tpl-hsd-179-fm	Homer Simpsons doughnut Fridge magnet	Fridge Magnets	has	X
prod_01KTVK8530M8PN2J5XDGY2C33H	tpl-hoc-180-fm	Hot cocoa Fridge magnet	Fridge Magnets	has	X
prod_01KTVK84PYYY729PNRM6K7RSH7	tpl-hos-182-fm	Hot stuff Fridge magnet	Fridge Magnets	has	X
prod_01KTVK86200KXC90GDEKAAQ8EX	tpl-idr-193	Idiot Repellent Fridge magnet	Fridge Magnets	has	X
prod_01KTVK84PYA2SCNHM0AYK94W7F	tpl-idr-193-fm	Idiot Repellent Fridge magnet	Fridge Magnets	has	X
prod_01KTVK86208RQKYZZMNG6319WC	tpl-juv-200	Juventus Fridge magnet	Fridge Magnets	has	X
prod_01KTVK852ZHXNHRGCCEA250GYV	tpl-juv-200-fm	Juventus Fridge magnet	Fridge Magnets	has	X
prod_01KTVK85RXF29NYAGGZ0W1CS3Q	tpl-kma-204	Kiss my airs - Black Fridge magnet	Fridge Magnets	EMPTY	X
prod_01KTVK8620S1B6JCKCY3XGDF97	tpl-kma-205	Kiss my airs - Red  Fridge magnet	Fridge Magnets	has	X
prod_01KTVK85DTME76AKHQXFK8Z8ZY	tpl-kma-205-fm	Kiss my airs - Red  Fridge magnet	Fridge Magnets	has	X
prod_01KTVK86201CF7PMRH830GSSDF	tpl-lob-215	Love bites Fridge magnet	Fridge Magnets	has	X
prod_01KTVK852Z01T1BC72Z3K7TGE7	tpl-lob-215-fm	Love bites Fridge magnet	Fridge Magnets	has	X
prod_01KTVK8530K6EZMJFS01E0BMC8	tpl-mac-217-fm	Macaron Fridge magnet	Fridge Magnets	has	X
prod_01KTVK852ZEJ8EMP7MPW5YY8VX	tpl-mac-219-fm	Manchester city Fridge magnet	Fridge Magnets	has	X
prod_01KTVK8620HVQ6XYGY1GA3JW5Y	tpl-mac-219	Manchester city Fridge magnet	Fridge Magnets	has	X
prod_01KTVK8620VYV0G407D8H0JTF4	tpl-mau-220	Manchester United Fridge magnet	Fridge Magnets	has	X
prod_01KTVK84PXJQGSFR3FPM46FEHE	tpl-mau-220-fm	Manchester United Fridge magnet	Fridge Magnets	has	X
prod_01KTVK852ZQ9NDD8BF9RQGVHD6	tpl-mix-230-fm	Mixtape Fridge magnet	Fridge Magnets	has	X
prod_01KTVK86209XMY6RYHY13T61PC	tpl-mcp-231	Moka Coffee Pot Fridge magnet	Fridge Magnets	has	X
prod_01KTVK84PYDRECA0BTFNPA0N13	tpl-mcp-231-fm	Moka Coffee Pot Fridge magnet	Fridge Magnets	has	X
prod_01KTVK8530JR1SQ9HVBDZJFRVG	tpl-mom-233-fm	Monday morning Fridge magnet	Fridge Magnets	has	X
prod_01KTVK8620NPC7FYF8EKEY6E1Y	tpl-mom-233	Monday morning Fridge magnet	Fridge Magnets	has	X
prod_01KTVK8620S7WK6ATK0F4GBTX5	tpl-mor-244	Morty Fridge magnet	Fridge Magnets	has	X
prod_01KTVK8530RH1NDPZPZ9V0VQ5P	tpl-mor-244-fm	Morty Fridge magnet	Fridge Magnets	has	X
prod_01KTVK852Z78D3YK7XZG02PRDS	tpl-noi-269-fm	Noice Fridge magnet	Fridge Magnets	has	X
